"","V1","V2","V3","V4","V5"
"200068_s_at",1.03445998056451,1.02693641515928,0.558372855270552,0.11224707086888,0.465312188217423
"200069_at",0.145593653690395,1.0224101506173,0.328504749240845,0.663666974889629,0.0772471637411699
"200070_at",0.739120489542715,1.46991532821923,0.0342767551259228,1.39657960046855,0.804202578558946
"200071_at",1.2049438950478,0.513467761720363,2.09909100010209,0.793583155662711,0.708693722248062
"200072_s_at",0.447983054174152,0.560979008569813,0.439127612936544,0.713757210731185,0.164215985410926
"200073_s_at",1.04726653831357,1.4084994884956,1.65901266342696,0.336039428309084,1.33916326880739
"200074_s_at",1.52749118306504,0.170361082703281,0.0659226981564245,0.602536097159123,0.888909576291137
"200075_s_at",0.300681546016015,0.915847298405809,1.37939322114618,0.198468354715961,0.465253954503742
"200076_s_at",0.393426786603032,0.0705826541287888,0.174212985033048,0.338751482872451,0.176738535047361
"200077_s_at",0.218918855593224,0.757523569795084,0.0369570554530938,0.684204604394034,0.392371232018962
"200078_s_at",0.111861146412224,0.642240687821232,0.546074239633826,0.209482500687913,1.06218210802732
"200079_s_at",0.505650792672893,0.88549843729624,1.8770205221566,0.409030209531508,0.298987772793951
"200080_s_at",0.733251698049752,0.108962267374798,0.693118671292558,0.246485711040038,0.601237785016159
"200081_s_at",0.477795455421439,0.167415626903368,0.0334621642776772,1.59277903377639,0.744314649049427
"200082_s_at",0.821473079939206,1.2028399595802,1.40450762886228,2.01997360539414,0.852199884343445
"200083_at",0.530813291677495,0.94301794518269,0.818817270169762,2.14377600325481,0.0275442546690893
"200084_at",0.437491659232491,1.23742980447165,1.03249671076791,0.144711712668871,1.24822919683348
"200085_s_at",0.39630191535799,0.76291427101242,0.96925072792893,0.483078056883107,0.360294894255746
"200086_s_at",0.922789823271328,0.562166111954941,1.31060109246865,0.00189458505770784,0.410730993453667
"200087_s_at",0.0116514039210859,0.341141985638569,1.28576516681977,1.978353381152,0.923095749943385
"200088_x_at",0.228013005644215,0.0450325736175067,0.0804815208002397,1.48014354647144,0.00972333651282408
"200089_s_at",0.0224811904822009,1.02984209781513,0.612977390157302,0.178773254820606,0.281108532509047
"200090_at",0.452829652209681,1.16026827979372,0.395093686840423,0.523032180448114,0.0787577540950334
"200091_s_at",0.199638228954031,0.632338253058425,0.147885208147108,0.18194232220996,0.211862946318985
"200092_s_at",0.769351374981707,1.18741677444356,1.02199489950847,1.12249032412023,0.569032022346678
"200093_s_at",0.773564588332448,1.40012791581243,0.17530765686212,0.946642906494608,1.05334751504336
"200094_s_at",0.292016635310957,0.379939985005925,0.113909510515366,0.41487100226611,0.018857653126733
"200095_x_at",1.06966778793542,1.10495087127996,0.498083853619102,1.6522614673143,0.979244336212711
"200096_s_at",0.652949874574861,0.469163637360358,0.166104872190139,0.754676218595623,0.470140985756611
"200097_s_at",0.286980740935673,1.00761435011277,0.516317504183665,0.0135976311335196,0.0255216455407077
"200098_s_at",0.328122038090719,1.14783233351787,1.34687484977226,0.78658986350945,0.222356711797361
"200099_s_at",0.118116864632342,1.31997127950333,0.247683289935205,0.0625783726114475,0.477595598398857
"200593_s_at",0.483027900179647,0.632645988895089,0.619865051755036,0.0197152477303408,0.844864311372881
"200594_x_at",0.30526091172075,0.385231802684268,0.214920015194878,0.375347531855234,1.17433832101725
"200595_s_at",1.43340469284362,1.96023799009203,1.53769588545412,0.502413225390064,0.881406576328035
"200596_s_at",0.436259155433941,0.543759535235907,2.08753136992491,0.58562202253053,1.33964580568267
"200597_at",3.24762820434491,3.29373579500943,1.70054144107835,0.518237740180235,2.13403512084481
"200598_s_at",0.107661038713438,1.2988946296181,2.40653531242349,4.30724322158968,4.34726011386743
"200599_s_at",0.24481847784688,0.245055141369503,0.244478160239322,2.32916097787009,0.335868262998472
"200600_at",2.01857669946048,2.3975046413976,0.212441050780264,1.34297176369274,1.47796533834965
"200601_at",0.220964075707364,0.27601852431532,0.76446307839796,0.78148474747223,0.110741581902578
"200602_at",0.247299792292423,1.08315005213486,2.73487960981212,2.69038251286308,2.9361277705506
"200603_at",2.20417076262297,2.43613471032456,1.45025660643919,0.95027579922816,1.60428052308247
"200604_s_at",2.78293796046219,1.06052497898312,0.0986288743141134,0.0649641992502323,1.47848815938426
"200605_s_at",2.54916431852741,1.94683640825009,1.81367136033024,1.15141295662678,1.25623327517882
"200606_at",9.02829931506695,11.719433414742,12.5959509680277,5.33773851706628,8.20347070315967
"200607_s_at",0.387799404617143,0.219059617332751,0.341378993296689,3.16624664365685,3.68448012167904
"200608_s_at",1.59464498043335,0.417003268096453,1.01142101745348,2.05293680050757,1.26093820565756
"200609_s_at",0.37724113773792,0.730416238141882,0.0431917852984934,2.04893804246425,1.7669535005729
"200610_s_at",1.30289049405311,0.296205882538919,0.689574748134667,0.209365099739798,1.03439083407755
"200611_s_at",0.116712164331746,0.154707101173515,1.61957912994518,1.1820687710746,0.239566986826771
"200612_s_at",0.171012512260609,1.56815002178366,1.18927438560444,1.54497911253801,1.48995292552965
"200613_at",2.12732870216324,0.971369010871531,2.90230827522497,2.52562831562671,2.11385946419853
"200614_at",0.645556931034214,0.720016379832632,0.102393948619013,0.600278199027642,0.228144508508054
"200615_s_at",0.899618192661787,1.08122909199202,1.99278925607827,0.650208966105722,0.486733142947966
"200616_s_at",1.36950699673532,1.05805190286479,0.829010205337325,2.9824624164933,4.19779700444634
"200617_at",1.32803767697259,0.33884960385408,0.169603069349654,0.95033767633686,0.60978912224388
"200618_at",0.192539198395995,0.0043884178036639,0.0728682100167091,1.26265910390355,0.652330896708691
"200619_at",0.168386894834645,0.209098188970551,0.584041228756901,0.569802035035842,0.573945677265553
"200620_at",0.441620835157229,0.0404246387358688,0.391356301693727,0.571105703111676,0.0217129379399837
"200621_at",3.15150822580566,1.9745198558442,1.09181076763322,2.60640046780017,2.28158961104388
"200622_x_at",1.44415665141763,0.654626610357819,1.2524375406859,0.845774439773299,0.52076207238206
"200623_s_at",1.23050847336964,0.0192632749178319,0.494605245634162,0.101317697035963,0.691290272759677
"200624_s_at",1.24944046723209,0.678638667516277,1.99763708479168,0.169802564077672,0.031250001020963
"200625_s_at",0.996916298537634,1.61429533895832,0.264045320829502,0.831719778671023,1.15012870581957
"200626_s_at",0.79336331891395,0.536849952718261,1.36190893100715,0.645797816412281,0.406355876347401
"200627_at",0.538379277778736,1.19256008883322,1.87119306492355,0.937259747663908,1.45275310802433
"200628_s_at",0.106159316068714,2.45160597984109,0.47571335358817,0.701867702460712,1.6865732261674
"200629_at",0.983357409285456,2.58996719346278,0.0501657158700372,0.144036490807018,2.51878461896494
"200630_x_at",1.23771563216308,0.0486250173481684,0.57549872438306,0.403806314333802,1.99339995995986
"200631_s_at",0.585055602136976,0.592744845838525,0.674867284198353,0.46552581603313,0.552974175503614
"200632_s_at",2.20510101452941,2.8665560186577,2.87554763962607,1.18472994422414,1.21573347995536
"200633_at",0.959364566344334,0.277028223241624,0.975231840247041,0.721752379683227,1.06530708389449
"200634_at",0.196664433514997,1.03877742338423,0.170206019577394,0.198537747016999,0.762455269112603
"200635_s_at",3.11853477393866,2.73322062164767,3.60731227268423,1.26785808823467,4.32207187057232
"200636_s_at",2.99311973298945,2.75760335314078,3.8464828171578,0.324348550831713,2.48717161329915
