Gene ID,TCGA-38-4625-11A-01R-1758-07,TCGA-38-4625-01A-01R-1758-07
ACVR1|90,798.0022,898.0892
ACVR2A|92,146.5039,272.3867
ACVR2B|93,73.2519,166.3544
ACVRL1|94,374.0289,4505.0581
ACY1|95,491.6759,713.0386
ACY3|91703,11.0988,7.8681
ACYP1|97,438.4018,58.8235
ACYP2|98,206.4373,220.6819
ADAD1|132612,0,0
ADAD2|161931,1.2764,3.3571
ADAL|161823,138.7347,110.903
ADAM10|102,660.3774,1949.7939
ADAM11|4185,37.7358,2.248
ADAM12|8038,210.8768,30.3484
ADAM15|8751,1486.1265,2483.3421
ADAM17|6868,1128.7458,1153.2409
ADAM18|8749,0,0
ADAM19|8728,365.1498,136.7553
ADAM20|8748,1.1099,0.3747
ADAM21P1|145241,1.1099,0
ADAM21|8747,6.6593,4.4961
ADAM22|53616,27.7469,8.2428
ADAM23|8745,1.1099,1.4987
ADAM28|10863,190.899,119.8951
ADAM29|11086,0,1.8734
ADAM2|2515,0,0
ADAM30|11085,0,0
ADAM32|203102,1.1099,0
ADAM33|80332,21.0877,52.0794
ADAM3A|1587,0,0
ADAM5P|255926,1.1099,0
ADAM6|8755,48767.9467,26342.1169
ADAM7|8756,0,0
ADAM8|101,293.0078,184.7134
ADAM9|8754,8345.172,2993.2559
ADAMDEC1|27299,672.586,8.6175
ADAMTS10|81794,14.4284,84.6759
ADAMTS12|81792,89.9001,43.462
ADAMTS13|11093,5.5494,28.8498
ADAMTS14|140766,28.8568,3.7467
ADAMTS15|170689,13.3185,56.9502
ADAMTS16|170690,26.6371,1.8734
ADAMTS17|170691,4.4395,38.5912
ADAMTS18|170692,9.9889,0.3747
ADAMTS19|171019,0,0
ADAMTS1|9510,218.6459,1741.1015
ADAMTS20|80070,0,0
ADAMTS2|9509,72.1421,307.6058
ADAMTS3|9508,69.9223,22.1057
ADAMTS4|9507,182.02,186.5867
ADAMTS5|11096,85.4606,81.6785
ADAMTS6|11174,16.6482,7.8681
ADAMTS7|11173,24.4173,87.2986
ADAMTS8|11095,1.1099,1023.2297
ADAMTS9|56999,22.1976,58.8235
ADAMTSL1|92949,41.0655,48.3327
ADAMTSL2|9719,61.0433,737.7295
ADAMTSL3|57188,23.3074,373.9228
ADAMTSL4|54507,69.9223,3715.9985
